TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-06-25,2026-06-25,FO,NSE,STO,148275,,MOTILALOFS,,2026-06-30,2026-06-30,720.00,PE,MOTILALOFS26JUN720PE,0.00,0.00,0.00,0.40,0.40,0.40,946.10,0.00,2325,0,0,0.00,0,F1,775,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,53097,,MOTILALOFS,,2026-06-30,2026-06-30,1040.00,PE,MOTILALOFS26JUN1040PE,0.00,0.00,0.00,102.50,102.50,102.50,946.10,94.75,0,0,0,0.00,0,F1,775,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,121957,,MOTILALOFS,,2026-07-28,2026-07-28,780.00,PE,MOTILALOFS26JUL780PE,0.00,0.00,0.00,76.65,0.00,76.65,946.10,6.80,0,0,0,0.00,0,F1,775,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,122082,,MOTILALOFS,,2026-07-28,2026-07-28,1040.00,PE,MOTILALOFS26JUL1040PE,0.00,0.00,0.00,262.55,0.00,262.55,946.10,115.90,0,0,0,0.00,0,F1,775,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,45088,,MOTILALOFS,,2026-07-28,2026-07-28,1060.00,PE,MOTILALOFS26JUL1060PE,0.00,0.00,0.00,202.00,0.00,202.00,946.10,131.00,0,0,0,0.00,0,F1,775,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,121800,,MOTILALOFS,,2026-06-30,2026-06-30,870.00,CE,MOTILALOFS26JUN870CE,75.00,75.55,74.00,75.25,75.55,68.00,946.10,75.25,105400,-3875,13,9521068.75,9,F1,775,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,121961,,MOTILALOFS,,2026-07-28,2026-07-28,800.00,PE,MOTILALOFS26JUL800PE,3.80,4.10,3.80,4.10,4.10,4.00,946.10,9.55,7750,0,2,1246122.50,2,F1,775,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,125521,,MOTILALOFS,,2026-07-28,2026-07-28,970.00,PE,MOTILALOFS26JUL970PE,0.00,0.00,0.00,132.45,0.00,132.45,946.10,69.80,0,0,0,0.00,0,F1,775,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,39285,,MOTILALOFS,,2026-07-28,2026-07-28,980.00,PE,MOTILALOFS26JUL980PE,0.00,0.00,0.00,197.95,0.00,197.95,946.10,75.70,0,0,0,0.00,0,F1,775,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,125615,,MOTILALOFS,,2026-07-28,2026-07-28,1050.00,CE,MOTILALOFS26JUL1050CE,12.00,14.00,11.30,11.60,11.95,11.50,946.10,11.60,24025,16275,24,19751998.75,22,F1,775,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,125895,,MOTILALOFS,,2026-08-25,2026-08-25,980.00,CE,MOTILALOFS26AUG980CE,0.00,0.00,0.00,35.00,35.00,35.00,946.10,71.10,775,0,0,0.00,0,F1,775,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,125901,,MOTILALOFS,,2026-08-25,2026-08-25,1040.00,CE,MOTILALOFS26AUG1040CE,0.00,0.00,0.00,40.60,0.00,40.60,946.10,49.75,0,0,0,0.00,0,F1,775,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,121785,,MOTILALOFS,,2026-06-30,2026-06-30,750.00,PE,MOTILALOFS26JUN750PE,0.50,0.50,0.15,0.15,0.15,0.50,946.10,0.00,24800,-1550,2,1163003.75,2,F1,775,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,148292,,MOTILALOFS,,2026-06-30,2026-06-30,760.00,PE,MOTILALOFS26JUN760PE,0.00,0.00,0.00,0.40,0.40,0.40,946.10,0.00,10075,0,0,0.00,0,F1,775,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,148302,,MOTILALOFS,,2026-06-30,2026-06-30,880.00,PE,MOTILALOFS26JUN880PE,0.25,0.30,0.05,0.05,0.05,0.45,946.10,0.05,320075,-7750,76,51838510.00,37,F1,775,,,,,
